iter	MultiClass
142	0.2590029993
143	0.2575249948
144	0.2570409724
145	0.2552677955
146	0.2539236108
147	0.2521577557
148	0.2512569433
149	0.2494416004
150	0.2474133543
151	0.2456487684
152	0.2440200224
153	0.2426587814
154	0.2413196742
155	0.2398099236
156	0.2383371292
157	0.2367444505
158	0.2350985956
159	0.2335618119
160	0.2318274756
161	0.230502687
162	0.2298759448
163	0.2287990563
164	0.2279139832
165	0.2266501378
166	0.2253638216
167	0.2247441216
168	0.2230008872
169	0.2216517622
170	0.2199901907
171	0.2187871634
172	0.2175372576
173	0.2160130236
174	0.2146422335
175	0.2136794594
176	0.2121987646
177	0.2106187683
178	0.2090240741
179	0.2080092455
180	0.2062956936
181	0.2046962444
182	0.2034535087
183	0.2025535235
184	0.2015692794
185	0.2000736284
186	0.1989927372
187	0.1975403588
188	0.196421531
189	0.1948306362
190	0.1940654109
191	0.1934411102
192	0.1928316203
193	0.1915359605
194	0.190350969
195	0.1894903613
196	0.1882211738
197	0.1877594581
198	0.186955204
199	0.1861835703
200	0.1846780619
201	0.1836291527
202	0.182893793
203	0.1819624933
204	0.180682537
205	0.1796487887
206	0.1786923813
207	0.1777254208
208	0.1768559144
209	0.1761012296
210	0.1752511511
211	0.1743705179
212	0.1735919252
213	0.1726077077
214	0.1716642749
215	0.1705559945
216	0.1698599057
217	0.1691202746
218	0.168458441
219	0.1674641763
220	0.1666449286
221	0.1658152639
222	0.1653457116
223	0.1644975529
224	0.1638282495
225	0.1629817436
226	0.1623669023
227	0.1621756935
228	0.1612000331
229	0.1605314168
230	0.1597935261
231	0.158956912
232	0.158022815
233	0.1575034521
234	0.1567964637
235	0.1559487717
236	0.1551983137
237	0.1545789555
238	0.1537464888
239	0.1531546349
240	0.1524126198
241	0.1518397308
242	0.1511128771
243	0.1506100576
244	0.1496689595
245	0.1488196398
246	0.1478375442
247	0.1474941385
248	0.1468496831
249	0.146171755
250	0.145413206
251	0.1445899685
252	0.1439104718
253	0.1430592992
254	0.1426044868
255	0.1420354565
256	0.1415576734
257	0.1406321302
258	0.1400200029
259	0.1396325692
260	0.1391193439
261	0.1385305493
262	0.137736589
263	0.1371854436
264	0.1363462826
265	0.1356168898
266	0.1348602486
267	0.1343525061
268	0.1340746697
269	0.1337173662
270	0.1332132025
271	0.1327277446
272	0.1321090703
273	0.1315084451
274	0.1310739737
275	0.1304997426
276	0.1297454525
277	0.1294191185
278	0.1291056328
279	0.1285157778
280	0.1279617421
281	0.1275594422
282	0.1269555108
283	0.126408737
284	0.1259840259
285	0.1255889337
286	0.1249557983
287	0.1243918285
288	0.123829286
289	0.1232827784
290	0.1229487801
291	0.1223557506
292	0.121688741
293	0.1213281048
294	0.1208406194
295	0.1204283631
296	0.1200005224
297	0.1192630171
298	0.1187784224
299	0.1181961858
300	0.1178346402
301	0.1174211685
302	0.1169787108
303	0.1164987677
304	0.1158255209
305	0.1153182811
306	0.1149134805
307	0.1146451108
308	0.1144279723
309	0.1139865576
310	0.1135140868
311	0.1132049354
312	0.1130227379
313	0.1126880033
314	0.1121460383
315	0.1118015629
316	0.1113110537
317	0.1108312209
318	0.1105580364
319	0.1101457343
320	0.1098524128
321	0.1092623806
322	0.1088830087
323	0.1084255661
324	0.1078646074
325	0.1072945419
326	0.1070123873
327	0.1065914127
328	0.1062498822
329	0.1058472562
330	0.1054017099
331	0.104927555
332	0.1044666422
333	0.1040910732
334	0.1036688788
335	0.1033702912
336	0.1029044649
337	0.1025043401
338	0.102379688
339	0.1018683136
340	0.101424028
341	0.1008178535
342	0.1004984116
343	0.09998687207
344	0.09948595453
345	0.09937171254
346	0.09885468353
347	0.09846820971
348	0.0981933099
349	0.09777048291
350	0.097481021
351	0.09714553604
352	0.09677061568
353	0.09651447041
354	0.09618069861
355	0.09573620706
356	0.09538352819
357	0.09504345782
358	0.09468930721
359	0.09446334606
360	0.09426978036
361	0.09401502083
362	0.0938805292
363	0.09351375294
364	0.09311559593
365	0.09281705935
366	0.0924929407
367	0.09216271546
368	0.09186535227
369	0.09151253368
370	0.09121919515
371	0.09098540642
372	0.09070400155
373	0.09037039774
374	0.08993262004
375	0.08967111752
376	0.08922535666
377	0.08880520503
378	0.08854649524
379	0.08836164135
380	0.08812945964
381	0.08776677886
382	0.08748725326
383	0.08724371233
384	0.08695087505
385	0.08680933836
386	0.08658072933
387	0.0863316573
388	0.08617391868
389	0.08606304473
390	0.08584457098
391	0.085650085
392	0.08535296267
393	0.08502759137
394	0.08467536521
395	0.08448410634
396	0.0842510924
397	0.0839077324
398	0.08357124475
399	0.08326455584
